Table 2 — Venturi
"Venturi measurement block (Graphs #2, #6, #9). C = Q_real/Q_ideal; ΔP-error is constant (= 4.91 Pa)."
Point,ΔP [Pa],Δ(ΔP) [Pa],Q_ideal [L/min],ΔQ_ideal [L/min],Q_real [L/min],ΔQ_real [L/min],Re [-],ΔRe [-],C [-],ΔC [-]
1.0,39.24,4.905,14.264667,1.025713,14.0,1.398034,6296.909304,397.039703,0.981446,0.120771
2.0,137.34,4.905,26.686748,1.061809,28.0,1.769322,11780.438606,232.143996,1.04921,0.078348
3.0,451.26,4.905,48.37384,1.739935,42.0,2.256214,21353.858388,212.448148,0.868238,0.056131
4.0,882.9,4.905,67.663257,2.413135,56.0,2.799018,29868.863432,262.371221,0.827628,0.050818
5.0,1353.78,4.905,83.785948,2.98292,70.0,3.370831,36985.967666,315.415322,0.835462,0.050033
6.0,1942.38,4.905,100.360829,3.570634,84.0,3.959103,44302.683959,373.402694,0.83698,0.049426
7.0,2629.08,4.905,116.761332,4.152943,98.0,4.557466,51542.424029,432.202902,0.839319,0.04914
8.0,3433.5,4.905,133.433742,4.745268,112.0,5.162412,58902.193032,492.651437,0.839368,0.048866
9.0,4394.88,4.905,150.963047,5.368236,126.0,5.771871,66640.224191,556.57893,0.834641,0.048401
10.0,5434.74,4.905,167.875194,5.969376,140.0,6.384552,74105.821297,618.453297,0.833953,0.048226
