Table 3 — Diaphragm
"Diaphragm measurement block (Graphs #3, #7, #9). C = Q_real/Q_ideal; ΔP-error is constant (= 4.91 Pa)."
Point,ΔP [Pa],Δ(ΔP) [Pa],Q_ideal [L/min],ΔQ_ideal [L/min],Q_real [L/min],ΔQ_real [L/min],Re [-],ΔRe [-],C [-],ΔC [-]
1.0,19.62,4.905,10.086643,1.310844,10.5,1.33529,4452.58727,557.808867,1.040981,0.18928
2.0,196.2,4.905,31.896765,1.202152,21.0,1.56349,14080.317253,211.530441,0.658374,0.05494
3.0,451.26,4.905,48.37384,1.739935,31.5,1.883348,21353.858388,212.448148,0.651178,0.045435
4.0,922.14,4.905,69.150539,2.465555,42.0,2.256214,30525.400399,267.019238,0.607371,0.03916
5.0,1589.22,4.905,90.779785,3.230764,52.5,2.659887,40073.285427,339.621841,0.578323,0.035807
6.0,2256.3,4.905,108.167194,3.847741,63.0,3.082288,47748.678938,401.276213,0.582432,0.035231
7.0,3021.48,4.905,125.171946,4.451718,73.5,3.516675,55255.154897,462.638719,0.587192,0.035006
8.0,3884.76,4.905,141.931645,5.047254,84.0,3.959103,62653.456505,523.60825,0.591834,0.034943
9.0,4708.8,4.905,156.261599,5.556564,94.5,4.407153,68979.185372,575.948159,0.604755,0.035467
10.0,5709.42,4.905,172.065237,6.118322,105.0,4.859269,75955.4489,633.802416,0.610234,0.035614
