Table 4 — Nozzle
"Nozzle measurement block (Graphs #4, #8, #9). C = Q_real/Q_ideal; ΔP-error is constant (= 4.91 Pa)."
Point,ΔP [Pa],Δ(ΔP) [Pa],Q_ideal [L/min],ΔQ_ideal [L/min],Q_real [L/min],ΔQ_real [L/min],Re [-],ΔRe [-],C [-],ΔC [-]
1.0,39.24,4.905,14.264667,1.025713,15.0,1.418626,6296.909304,397.039703,1.051549,0.12493
2.0,176.58,4.905,30.259928,1.155081,30.0,1.833712,13357.761809,216.356851,0.99141,0.071445
3.0,510.12,4.905,51.431989,1.845335,45.0,2.369072,22703.829374,218.427299,0.874942,0.055742
4.0,1000.62,4.905,72.033038,2.567253,60.0,2.960152,31797.833308,276.205413,0.832951,0.050695
5.0,1510.74,4.905,88.509932,3.150298,75.0,3.579455,39071.294723,331.714593,0.847363,0.050449
6.0,2118.96,4.905,104.823467,3.729031,90.0,4.214558,46272.644257,389.306791,0.858586,0.050492
7.0,2864.52,4.905,121.877369,4.334674,105.0,4.859269,53800.816681,450.700144,0.861522,0.050284
8.0,3727.8,4.905,139.034776,4.944305,120.0,5.510218,61374.679998,513.047062,0.863093,0.050127
9.0,4649.94,4.905,155.281893,5.521741,135.0,6.165428,68546.709727,572.36553,0.869387,0.050321
10.0,5650.56,4.905,171.176005,6.086711,150.0,6.823672,75562.911653,630.544425,0.876291,0.050596
