Table 5 — Pitot velocities
Pitot-tube velocities by three methods vs. Reynolds number and √ΔP (Graph #5).  Mirrors the reference report's Table 5.
Point,Re [-],ΔRe [-],u [m/s],Δu [m/s],u [m/s],Δu [m/s],u [m/s],Δu [m/s],√ΔP [√Pa],Δ√ΔP [√Pa]
1.0,4452.58727,557.808867,3.242045,0.240569,5.373106,0.671638,5.7569,0.719612,4.429447,0.553681
2.0,6296.909304,397.039703,6.48409,0.360136,7.59872,0.47492,8.141485,0.508843,6.264184,0.391511
3.0,10906.566846,244.723583,9.726135,0.499404,13.161369,0.274195,14.101466,0.293781,10.849885,0.226039
4.0,14080.317253,211.530441,12.968181,0.645751,16.991254,0.212391,18.204915,0.227561,14.007141,0.175089
5.0,17810.349079,203.443464,16.210226,0.795278,21.492425,0.16791,23.027598,0.179903,17.717788,0.13842
6.0,21353.858388,212.448148,19.452271,0.946479,25.768512,0.140046,27.60912,0.15005,21.242881,0.11545
7.0,24387.824869,227.220143,22.694316,1.098663,29.429715,0.122624,31.531837,0.131383,24.26108,0.101088
8.0,27806.398587,248.268151,25.936361,1.251472,33.555037,0.107548,35.951826,0.11523,27.661887,0.08866
9.0,31168.110888,271.63174,29.178406,1.404701,37.611743,0.095948,40.298297,0.102802,31.006128,0.079097
10.0,33909.89438,291.879724,32.420451,1.558227,40.920358,0.08819,43.84324,0.09449,33.733663,0.072702
