2026-02-04 09:17:37,291	PDB Server  	T_pdb_server     	[DEBUG]	 PDB server has started at 2026_02_04__09_17_37
2026-02-04 09:17:37,292	PDB Server  	T_pdb_server     	[INFO ]	ATP mode. Will also send data to port 8104
2026-02-04 09:17:37,301	EEPROM_Regis	T_pdb_server     	[INFO ]	Initializing EEPROM
2026-02-04 09:17:37,302	EEProm      	T_pdb_server     	[ERROR]	No EEPROM chips found..
2026-02-04 09:17:38,303	EEProm      	T_pdb_server     	[ERROR]	No EEPROM chips found..
2026-02-04 09:17:39,306	EEProm      	T_pdb_server     	[ERROR]	No EEPROM chips found..
2026-02-04 09:17:40,307	EEProm      	T_pdb_server     	[ERROR]	No EEPROM chips found..
2026-02-04 09:17:41,307	EEProm      	T_pdb_server     	[ERROR]	No EEPROM chips found..
2026-02-04 09:17:42,308	EEProm      	T_pdb_server     	[ERROR]	No EEPROM chips found..
2026-02-04 09:17:43,308	EEPROM_Regis	T_pdb_server     	[ERROR]	Failed to initialze EEPROM
2026-02-04 09:17:43,308	DiskBatteryR	T_pdb_server     	[INFO ]	Loading battery registry
2026-02-04 09:17:43,311	BatteryRegis	T_pdb_server     	[INFO ]	Entry id/charge: 000000000000/00000000000000000000000000000000000000000940781441
*ÒêU
2026-02-04 09:17:43,311	BatteryRegis	T_pdb_server     	[INFO ]	Entry id/charge: 032225d763ff/00000000000000000000000000000000000000000000190971
*ÒêU
2026-02-04 09:17:43,311	DiskBatteryR	T_pdb_server     	[INFO ]	Bat. ID: 000000000000 mAH: 940781441
2026-02-04 09:17:43,311	DiskBatteryR	T_pdb_server     	[INFO ]	Bat. ID: 032225d763ff mAH: 190971
2026-02-04 09:17:48,313	BatteryId   	T_pdb_server     	[DEBUG]	Gave up on finding sensor.
2026-02-04 09:17:48,313	PowerBoard  	T_pdb_server     	[INFO ]	Sysfs path prefix is: /sys/bus/i2c/devices/6-0033/hwmon/hwmon3/
2026-02-04 09:17:48,314	PowerBoard  	T_pdb_server     	[INFO ]	Clock div reg is ok 
2026-02-04 09:17:48,314	PowerMonitor	T_pdb_server     	[INFO ]	PDB Initialized succesfully
2026-02-04 09:17:48,314	PowerMonitor	T_12PowerMonitor 	[INFO ]	PowerMonitor thread running
2026-02-04 09:17:49,395	PowerMonitor	T_pdb_server     	[DEBUG]	Initial voltage readings. Avg voltage: 23.9772 Max voltage: 23.9772 Min voltage: 23.9772 Var: 3.63798e-12 Standard Deviation: 1.90735e-06
2026-02-04 09:17:49,397	PowerMonitor	T_pdb_server     	[INFO ]	Initial voltage / est.fuel / mAH currently / mAH full (given age) 
23.9772V / 77 % / 14002 / 18185
2026-02-04 09:17:49,399	BMS Server  	T_pdb_server     	[DEBUG]	Opened BMS serial port 

2026-02-04 09:17:49,400	BMS Server  	T_9BmsServer     	[DEBUG]	Opened BMS serial port 

2026-02-04 09:17:49,400	BMS Server  	T_9BmsServer     	[DEBUG]	BMS options not found
2026-02-04 09:17:49,400	BMS Server  	T_9BmsServer     	[ERROR]	ESP32 not responding - timeout
2026-02-04 09:17:49,400	BMS Server  	T_9BmsServer     	[DEBUG]	Try to reconnect to esp32
2026-02-04 09:17:49,400	BMS Server  	T_9BmsServer     	[DEBUG]	opened BMS serial port 
2026-02-04 09:17:49,400	PDB Server  	T_pdb_server     	[INFO ]	Publishing PDB status on ZMQ socket: ipc://@pdb_server
2026-02-04 09:17:49,437	PDB Server  	T_pdb_server     	[INFO ]	Sys Volts: 23977 Sys Amps: 1351
2026-02-04 09:17:49,437	PDB Server  	T_pdb_server     	[INFO ]	12V rail Volts: 11998 12V rail Amps: 618
2026-02-04 09:17:49,437	PDB Server  	T_pdb_server     	[INFO ]	Energy[Joules]: 35.3866
2026-02-04 09:17:49,438	PDB Server  	T_pdb_server     	[INFO ]	Average Power: 31.7626
2026-02-04 09:17:49,438	PDB Server  	T_pdb_server     	[INFO ]	Sys Volts average: 23977
2026-02-04 09:17:49,438	PDB Server  	T_pdb_server     	[INFO ]	mah from ltc4282 0.40996
2026-02-04 09:17:49,438	PDB Server  	T_pdb_server     	[INFO ]	ltc4282 status 0x3098
